,,,,,,
,Tokenizer,Sample no. ,Fertility Score,,Sample No.,Size (in kb)
,Sentence Piece,Part 1,1.372,,Part 1,33.56
,,Part 2 ,1.026,,Part 2 ,24.83
,,Part 3,1.013,,Part 3,25.6
,,Part 4,1.015,,Part 4,25.42
,,Part 5,1.014,,Part 5,26.16
,Byte Level,Part 1,3.256,,,
,,Part 2 ,3.01,,,
,,Part 3,3.59,,,
,,Part 4,3.77,,,
,,Part 5,3.91,,,
,Word piece,Part 1,0.567,,,
,,Part 2 ,0.001,,,
,,Part 3,0.0005,,,
,,Part 4,0.0005,,,
,,Part 5,0.293,,,
,Whitespace,Part 1,1.209,,,
,,Part 2 ,1,,,
,,Part 3,1,,,
,,Part 4,1,,,
,,Part 5,1.319,,,
,Char Level,Part 1,1.154,,,
,,Part 2 ,1.154,,,
,,Part 3,1,,,
,,Part 4,1,,,
,,Part 5,1.314,,,
